Volatility 3 Framework 2.26.2

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created
0x840e96af2450	UDPv4	0.0.0.0	5355	*	0		2376	svchost.exe	2025-03-12 16:40:03.000000 UTC
0x840e96af30d0	UDPv4	0.0.0.0	5353	*	0		2376	svchost.exe	2025-03-12 16:40:03.000000 UTC
0x840e96af30d0	UDPv6	::	5353	*	0		2376	svchost.exe	2025-03-12 16:40:03.000000 UTC
0x840e96afd4e0	UDPv6	fe80::ed2b:e322:d23f:739c	1900	*	0		3172	svchost.exe	2025-03-12 16:40:06.000000 UTC
0x840e96cb2a00	UDPv4	0.0.0.0	0	*	0		4800	svchost.exe	2025-03-12 16:40:06.000000 UTC
0x840e96cb5750	UDPv4	0.0.0.0	0	*	0		4800	svchost.exe	2025-03-12 16:40:06.000000 UTC
0x840e96cb5750	UDPv6	::	0	*	0		4800	svchost.exe	2025-03-12 16:40:06.000000 UTC
0x840e96cb6880	UDPv4	0.0.0.0	61627	*	0		2220	svchost.exe	2025-03-12 16:40:03.000000 UTC
0x840e96cb7820	UDPv4	0.0.0.0	61628	*	0		2220	svchost.exe	2025-03-12 16:40:03.000000 UTC
0x840e96cb7820	UDPv6	::	61628	*	0		2220	svchost.exe	2025-03-12 16:40:03.000000 UTC
0x840e96cc5470	UDPv4	10.20.20.23	52210	*	0		3172	svchost.exe	2025-03-12 16:40:06.000000 UTC
0x840e96cc5dd0	UDPv4	127.0.0.1	52211	*	0		3172	svchost.exe	2025-03-12 16:40:06.000000 UTC
0x840e96cc7b80	UDPv6	fe80::ed2b:e322:d23f:739c	52208	*	0		3172	svchost.exe	2025-03-12 16:40:06.000000 UTC
0x840e96cc81c0	UDPv6	::1	52209	*	0		3172	svchost.exe	2025-03-12 16:40:06.000000 UTC
0x840e96f744a0	UDPv4	127.0.0.1	61629	*	0		3376	svchost.exe	2025-03-12 16:40:04.000000 UTC
0x840e96f93260	UDPv4	10.20.20.23	1900	*	0		3172	svchost.exe	2025-03-12 16:40:06.000000 UTC
0x840e96f99980	UDPv4	0.0.0.0	3702	*	0		2220	svchost.exe	2025-03-12 16:40:06.000000 UTC
0x840e96f99980	UDPv6	::	3702	*	0		2220	svchost.exe	2025-03-12 16:40:06.000000 UTC
0x840e96f9ede0	UDPv4	127.0.0.1	1900	*	0		3172	svchost.exe	2025-03-12 16:40:06.000000 UTC
0x840e96fa03c0	UDPv4	0.0.0.0	3702	*	0		2220	svchost.exe	2025-03-12 16:40:06.000000 UTC
0x840e96fa03c0	UDPv6	::	3702	*	0		2220	svchost.exe	2025-03-12 16:40:06.000000 UTC
0x840e96fa1810	UDPv4	0.0.0.0	3702	*	0		2220	svchost.exe	2025-03-12 16:40:06.000000 UTC
0x840e96fa2940	UDPv4	0.0.0.0	3702	*	0		2220	svchost.exe	2025-03-12 16:40:06.000000 UTC
0x840e97054750	TCPv4	10.20.20.23	50154	23.211.124.202	443	CLOSE_WAIT	4236	SearchApp.exe	2025-03-12 16:51:46.000000 UTC
0x840e9708b270	TCPv4	10.20.20.23	50152	23.211.124.202	443	CLOSE_WAIT	4236	SearchApp.exe	2025-03-12 16:51:46.000000 UTC
0x840e970eba20	TCPv4	10.20.20.23	50172	23.194.127.11	443	CLOSE_WAIT	4236	SearchApp.exe	2025-03-12 16:51:49.000000 UTC
0x840e97447260	TCPv4	10.20.20.23	50164	23.194.127.43	443	CLOSE_WAIT	4236	SearchApp.exe	2025-03-12 16:51:48.000000 UTC
0x840e9750e5e0	TCPv4	0.0.0.0	47001	0.0.0.0	0	LISTENING	4	System	2025-03-12 16:42:19.000000 UTC
0x840e9750e5e0	TCPv6	::	47001	::	0	LISTENING	4	System	2025-03-12 16:42:19.000000 UTC
0x840e9750e740	TCPv4	0.0.0.0	49677	0.0.0.0	0	LISTENING	1000	services.exe	2025-03-12 16:40:09.000000 UTC
0x840e9750ea00	TCPv4	0.0.0.0	49677	0.0.0.0	0	LISTENING	1000	services.exe	2025-03-12 16:40:09.000000 UTC
0x840e9750ea00	TCPv6	::	49677	::	0	LISTENING	1000	services.exe	2025-03-12 16:40:09.000000 UTC
0x840e9750f3a0	TCPv4	0.0.0.0	5985	0.0.0.0	0	LISTENING	4	System	2025-03-12 16:42:19.000000 UTC
0x840e9750f3a0	TCPv6	::	5985	::	0	LISTENING	4	System	2025-03-12 16:42:19.000000 UTC
0x840e9750f500	TCPv4	0.0.0.0	5986	0.0.0.0	0	LISTENING	4	System	2025-03-12 16:42:19.000000 UTC
0x840e9750f500	TCPv6	::	5986	::	0	LISTENING	4	System	2025-03-12 16:42:19.000000 UTC
0x840e9750fbe0	TCPv4	0.0.0.0	58093	0.0.0.0	0	LISTENING	4800	svchost.exe	2025-03-13 14:54:33.000000 UTC
0x840e9750fbe0	TCPv6	::	58093	::	0	LISTENING	4800	svchost.exe	2025-03-13 14:54:33.000000 UTC
0x840e9750fea0	TCPv4	0.0.0.0	7680	0.0.0.0	0	LISTENING	2800	svchost.exe	2025-03-12 22:01:25.000000 UTC
0x840e9750fea0	TCPv6	::	7680	::	0	LISTENING	2800	svchost.exe	2025-03-12 22:01:25.000000 UTC
0x840e97510420	TCPv4	0.0.0.0	58093	0.0.0.0	0	LISTENING	4800	svchost.exe	2025-03-13 14:54:33.000000 UTC
0x840e975d3760	UDPv4	0.0.0.0	5050	*	0		1480	svchost.exe	2025-03-12 16:41:36.000000 UTC
0x840e97632010	TCPv4	10.20.20.23	59865	35.86.58.69	80	CLOSED	14536	spoolsv.exe	2025-03-17 17:26:37.000000 UTC
0x840e97643010	TCPv4	10.20.20.23	50165	23.194.127.43	443	CLOSE_WAIT	4236	SearchApp.exe	2025-03-12 16:51:48.000000 UTC
0x840e9793ebc0	UDPv4	0.0.0.0	51100	*	0		3752	dasHost.exe	2025-03-12 16:40:36.000000 UTC
0x840e9793fcf0	UDPv4	0.0.0.0	3702	*	0		3752	dasHost.exe	2025-03-12 16:40:36.000000 UTC
0x840e9793fcf0	UDPv6	::	3702	*	0		3752	dasHost.exe	2025-03-12 16:40:36.000000 UTC
0x840e97940010	UDPv4	0.0.0.0	51101	*	0		3752	dasHost.exe	2025-03-12 16:40:36.000000 UTC
0x840e97940010	UDPv6	::	51101	*	0		3752	dasHost.exe	2025-03-12 16:40:36.000000 UTC
0x840e97a87cd0	UDPv4	0.0.0.0	5353	*	0		10732	csrss.exe	2025-03-12 19:14:03.000000 UTC
0x840e97a88180	UDPv4	0.0.0.0	5353	*	0		10732	csrss.exe	2025-03-12 19:14:03.000000 UTC
0x840e97a88180	UDPv6	::	5353	*	0		10732	csrss.exe	2025-03-12 19:14:03.000000 UTC
0x840e97a8f070	UDPv4	0.0.0.0	64992	*	0		10704	fontdrvhost.ex	2025-03-12 19:15:56.000000 UTC
0x840e97a904c0	UDPv4	0.0.0.0	54576	*	0		10704	fontdrvhost.ex	2025-03-12 19:15:56.000000 UTC
0x840e97b2cdf0	UDPv4	0.0.0.0	60635	*	0		10704	fontdrvhost.ex	2025-03-12 19:15:19.000000 UTC
0x840e97b2cdf0	UDPv6	::	60635	*	0		10704	fontdrvhost.ex	2025-03-12 19:15:19.000000 UTC
0x840e97b2fb40	UDPv4	0.0.0.0	64155	*	0		10704	fontdrvhost.ex	2025-03-12 19:14:15.000000 UTC
0x840e97b320c0	UDPv4	0.0.0.0	55736	*	0		10704	fontdrvhost.ex	2025-03-12 19:14:15.000000 UTC
0x840e97b355e0	UDPv4	0.0.0.0	61071	*	0		10704	fontdrvhost.ex	2025-03-12 19:14:15.000000 UTC
0x840e97b36710	UDPv4	0.0.0.0	53180	*	0		10704	fontdrvhost.ex	2025-03-12 19:14:15.000000 UTC
0x840e97b3c340	UDPv4	0.0.0.0	0	*	0		3308	svchost.exe	2025-03-12 18:23:25.000000 UTC
0x840e97b3c340	UDPv6	::	0	*	0		3308	svchost.exe	2025-03-12 18:23:25.000000 UTC
0x840e97c40b00	UDPv4	0.0.0.0	3702	*	0		3752	dasHost.exe	2025-03-12 16:40:36.000000 UTC
0x840e97c40e20	UDPv4	0.0.0.0	3702	*	0		3752	dasHost.exe	2025-03-12 16:40:36.000000 UTC
0x840e97c415f0	UDPv4	0.0.0.0	3702	*	0		3752	dasHost.exe	2025-03-12 16:40:36.000000 UTC
0x840e97c415f0	UDPv6	::	3702	*	0		3752	dasHost.exe	2025-03-12 16:40:36.000000 UTC
0x840e9804bb60	TCPv4	10.20.20.23	59428	23.209.84.48	443	CLOSE_WAIT	9092	SearchApp.exe	2025-03-17 17:15:00.000000 UTC
0x840e982f34b0	TCPv4	10.20.20.23	59231	35.86.58.69	4443	ESTABLISHED	4672	excel-update.e	2025-03-17 17:01:19.000000 UTC
0x840e98564050	TCPv4	10.20.20.23	50159	23.217.9.16	443	CLOSE_WAIT	4236	SearchApp.exe	2025-03-12 16:51:48.000000 UTC
0x840e98aa9a60	TCPv4	10.20.20.23	50151	23.211.124.202	443	CLOSE_WAIT	4236	SearchApp.exe	2025-03-12 16:51:46.000000 UTC
0x840e98ab3010	TCPv4	10.20.20.23	59590	20.42.144.52	443	ESTABLISHED	12476	msedge.exe	2025-03-17 17:19:15.000000 UTC
0x840e98b22010	TCPv4	10.20.20.23	445	10.20.20.22	50695	ESTABLISHED	4	System	2025-03-17 17:01:18.000000 UTC
0x840e98c11010	TCPv4	10.20.20.23	59434	20.125.62.241	443	CLOSED	9092	SearchApp.exe	2025-03-17 17:15:06.000000 UTC
0x840e98da4a20	TCPv4	10.20.20.23	50171	23.194.127.11	443	CLOSE_WAIT	4236	SearchApp.exe	2025-03-12 16:51:49.000000 UTC
0x840e98fb7a80	TCPv4	10.20.20.23	59426	23.194.127.18	443	CLOSE_WAIT	9092	SearchApp.exe	2025-03-17 17:15:00.000000 UTC
0x840e98fc5a20	TCPv4	10.20.20.23	50162	23.194.127.43	443	CLOSE_WAIT	4236	SearchApp.exe	2025-03-12 16:51:48.000000 UTC
0x840e99010520	TCPv4	10.20.20.23	59262	139.178.70.144	443	ESTABLISHED	6988	ScreenConnect.	2025-03-17 17:05:19.000000 UTC
0x840e990bda70	TCPv4	10.20.20.23	50149	150.171.28.12	443	CLOSED	4236	SearchApp.exe	2025-03-12 16:51:45.000000 UTC
0x840e990cd560	TCPv4	10.20.20.23	58310	20.59.87.225	443	ESTABLISHED	3560	svchost.exe	2025-03-13 21:54:57.000000 UTC
